1,0
2,9
3,5
4,10
5,0
6,13
7,5
8,0
9,5
10,5
11,7
12,4
13,20
14,5
15,0
16,6
17,5
18,10
19,0
20,22
21,7
22,0
23,9
24,5
25,8
26,4
27,24
28,5
29,0
30,7
31,6
32,9
33,4
34,28
35,5
36,0
37,10
38,7
39,10
40,0
41,18
42,5
43,0
44,9
45,7
46,9
47,4
48,30
49,5
50,0
51,9
52,7
53,10
54,0
55,20
56,5
57,0
58,9
59,9
60,9
61,4
62,30
63,0
64,5
65,9
66,8
67,12
68,0
69,24
70,5
71,0
72,7
73,9
74,12
75,4
76,34
77,5
78,0
79,7
80,4
81,8
82,0
83,20
84,5
85,0
86,7
87,5
88,5
89,4
90,14
91,5
92,0
93,5
94,4
95,0
96,3
97,0
98,42.2
