1,4
2,3
3,5
4,8
5,0
6,10
7,6
8,4
9,3.5
10,5
11,8
12,0
13,12
14,7
15,4
16,4
17,5
18,10
19,0
20,15
21,5
22,4
23,4
24,5
25,10
26,0
27,16
28,6
29,4
30,2
31,13
32,3.5
33,0
34,19
35,5
36,4
37,2.5
38,13
39,3.5
40,0
41,22
42,7
43,4
44,3
45,14
46,8
47,0
48,26
49,7
50,4
51,3.5
52,14
53,3.5
54,0
55,19
56,9
57,4
58,2
59,13
60,10
61,0
62,29
63,6
64,4
65,2
66,14
67,3.5
68,0
69,22
70,9
71,4
72,2.5
73,15
74,12
75,0
76,26
77,9
78,4
79,3
80,14
81,3.5
82,0
83,19
84,8
85,4
86,3
87,14
88,8
89,0
90,32
91,5
92,4
93,10
94,14
95,4
96,0
97,19
98,9
99,4
100,8
101,14
102,3.5
103,0
104,34
105,5
106,4
107,8
108,9
109,3.5
110,0
111,19
112,6
113,4
114,8
115,8
116,7
117,0
118,10
119,6
120,4
121,8
122,0
123,7
124,0
125,5
126,42.2
