1,0
2,5
3,0
4,5
5,0
6,8
7,5
8,0
9,5
10,4
11,5
12,4
13,9
14,5
15,0
16,5
17,4
18,8
19,4
20,10
21,5
22,0
23,5
24,4
25,8
26,0
27,11
28,5
29,0
30,8
31,4
32,8
33,4
34,10
35,5
36,0
37,8
38,4
39,8
40,0
41,12
42,5
43,0
44,8
45,5
46,8
47,4
48,16
49,5
50,0
51,8
52,5
53,9
54,0
55,12
56,5
57,0
58,8
59,5
60,8
61,4
62,19
63,5
64,0
65,8
66,5
67,9
68,0
69,22
70,5
71,0
72,8
73,5
74,9
75,4
76,22
77,5
78,0
79,8
80,6
81,8
82,4
83,26
84,5
85,0
86,9
87,7
88,9
89,0
90,16
91,5
92,0
93,9
94,7
95,9
96,4
97,29
98,5
99,0
100,8
101,7
102,9
103,0
104,19
105,5
106,0
107,8
108,8
109,9
110,4
111,29
112,0
113,5
114,9
115,8
116,10
117,0
118,22
119,5
120,0
121,8
122,9
123,10
124,4
125,32
126,5
127,0
128,8
129,4
130,8
131,0
132,19
133,5
134,0
135,5
136,3
137,5
138,4
139,12
140,5
141,0
142,4
143,2
144,0
145,2
146,0
147,42.2
